College ID,Title,Territory,Vizag / Vijayawada,College Code,Country,Zone Id,State,State Code,Region Id,College Category,Reg College ID
669f5b8d7004b579f4304fca,"Tagore Medical College and Hospital, Chennai",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fca
669f5b8d7004b579f4304fcb,Tamralipto Government Medical College & Hospital,,,,IN,,West Bengal,WB,,ug,669f5b8d7004b579f4304fcb
669f5b8d7004b579f4304fcc,"Teerthanker Mahaveer Medical College, Moradabad",,,,IN,,Uttar Pradesh,UP,,ug,669f5b8d7004b579f4304fcc
669f5b8d7004b579f4304fcd,"Terna Medical College, Navi Mumbai",,,,IN,,Maharashtra,MH,,ug,669f5b8d7004b579f4304fcd
669f5b8d7004b579f4304fce,"Tezpur Medical College & Hospital, Tezpur",,,,IN,,Assam,AS,,ug,669f5b8d7004b579f4304fce
669f5b8d7004b579f4304fcf,"Thanjavur Medical College,Thanjavur",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fcf
669f5b8d7004b579f4304fd0,"The Oxford Medical College, Hospital & Research Centre, Bangalore",,,,IN,,Karnataka,KA,,ug,669f5b8d7004b579f4304fd0
669f5b8d7004b579f4304fd1,"Theni Government Medical College,Theni",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fd1
669f5b8d7004b579f4304fd2,"Thiruvarur Govt. Medical College, Thiruvarur",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fd2
669f5b8d7004b579f4304fd3,"Thoothukudi Medical College, Thoothukudi",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fd3
669f5b8d7004b579f4304fd4,"Tirunelveli Medical College,Tirunelveli",,,,IN,,Tamil Nadu,TN,,ug,669f5b8d7004b579f4304fd4
669f5b8d7004b579f4304fd5,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",,,,IN,,Arunachal Pradesh,AR,,ug,669f5b8d7004b579f4304fd5
669f5b8d7004b579f4304fd6,"Topiwala National Medical College, Mumbai",,,,IN,,Maharashtra,MH,,ug,669f5b8d7004b579f4304fd6
669f5b8e7004b579f4304fd7,"Travancore Medical College, Kollam",,,,IN,,Kerala,KL,,ug,669f5b8e7004b579f4304fd7
669f5b8e7004b579f4304fd8,"Trichy SRM Medical College Hospital & Research Centre, Trichy",,,,IN,,Tamil Nadu,TN,,ug,669f5b8e7004b579f4304fd8
669f5b8e7004b579f4304fd9,"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",,,,IN,,Tripura,TR,,ug,669f5b8e7004b579f4304fd9
669f5b8e7004b579f4304fda,"TRR Institute of Medical Sciences, patancheru",,,,IN,,Telangana,TS,,ug,669f5b8e7004b579f4304fda
669f5b8e7004b579f4304fdb,Uma Nath Singh Autonomous State Medical College Society Jaunpur,,,,IN,,Uttar Pradesh,UP,,ug,669f5b8e7004b579f4304fdb
669f5b8e7004b579f4304fdc,"United Institute of Medical Sciences, Allahabad",,,,IN,,Uttar Pradesh,UP,,ug,669f5b8e7004b579f4304fdc
669f5b8e7004b579f4304fdd,"University College of Medical Sciences & GTB Hospital, New Delhi",,,,IN,,Delhi,DL,,ug,669f5b8e7004b579f4304fdd
669f5b8e7004b579f4304fde,"Uttar Pradesh University of Medical Sciences, (Prev. UP Rural Inst.of Med.Sc&R) Etawah",,,,IN,,Uttar Pradesh,UP,,ug,669f5b8e7004b579f4304fde
669f5b8e7004b579f4304fdf,"Vardhman Institute of Medical Sciences, Pawapuri, Nalanda",,,,IN,,Bihar,BR,,ug,669f5b8e7004b579f4304fdf
669f5b8e7004b579f4304fe0,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",,,,IN,,Delhi,DL,,ug,669f5b8e7004b579f4304fe0
669f5b8e7004b579f4304fe1,"Varun Arjun Medical College, Banthra, Shahjahanpur",,,,IN,,Uttar Pradesh,UP,,ug,669f5b8e7004b579f4304fe1
669f5b8e7004b579f4304fe2,"Vedantaa Institute of Medical Sciences, Palghar, Maharashtra",,,,IN,,Maharashtra,MH,,ug,669f5b8e7004b579f4304fe2
669f5b8e7004b579f4304fe3,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal",,,,IN,,Uttarakhand,UK,,ug,669f5b8e7004b579f4304fe3
669f5b8e7004b579f4304fe4,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla",,,,IN,,Odisha,OD,,ug,669f5b8e7004b579f4304fe4
669f5b8e7004b579f4304fe5,"Velammal Medical College Hospital and Research Institute, Madurai",,,,IN,,Tamil Nadu,TN,,ug,669f5b8e7004b579f4304fe5
669f5b8e7004b579f4304fe6,VELS Medical College & Hospital,,,,IN,,Tamil Nadu,TN,,ug,669f5b8e7004b579f4304fe6
669f5b8e7004b579f4304fe7,"Venkateshwara Institute of Medical Sciences, Gajraula",,,,IN,,Uttar Pradesh,UP,,ug,669f5b8e7004b579f4304fe7
669f5b8e7004b579f4304fe8,"Vijaynagar Institute of Medical Sciences, Bellary",,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4304fe8
669f5b8e7004b579f4304fe9,"Vinayaka Missions Kirupananda Variyar Medical College, Salem",,,,IN,,Tamil Nadu,TN,,ug,669f5b8e7004b579f4304fe9
669f5b8e7004b579f4304fea,"Vinayaka Missions Medical College, Karaikal, Pondicherry",,,,IN,,Pondicherry,PY,,ug,669f5b8e7004b579f4304fea
669f5b8e7004b579f4304feb,"Viswabharathi Medical College, Kurnool",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304feb
669f5b8e7004b579f4304fec,"Vydehi Institute Of Medical Sciences & Research Centre, Bangalore",,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4304fec
669f5b8e7004b579f4304fed,"World College of Medical Sciences & Researc, Jhajjar, Haryana",,,,IN,,Haryana,HR,,ug,669f5b8e7004b579f4304fed
669f5b8e7004b579f4304fee,"Yadgiri Institute of Medical Sciences, Yadgiri",,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4304fee
669f5b8e7004b579f4304fef,"Yenepoya Medical College, Mangalore",,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4304fef
669f5b8e7004b579f4304ff0,"Zoram Medical College, Mizoram",,,,IN,,Mizoram,MZ,,ug,669f5b8e7004b579f4304ff0
669f5b8e7004b579f4304ff1,"Zydus Medical College & Hospital, Dahod",,,,IN,,Gujarat,GJ,,ug,669f5b8e7004b579f4304ff1
669f5b8e7004b579f4304ff2,"JMN Medical College, Nadia",,,,IN,,West Bengal,WB,,ug,669f5b8e7004b579f4304ff2
669f5b8e7004b579f4304ff3,"Government Medical College, Purnea",,,,IN,,Bihar,BR,,ug,669f5b8e7004b579f4304ff3
